"date","BTC","QQQ","GLD"
2020-11-09,15332.3154296875,279.909271240234,175.080001831055
2020-11-10,15290.90234375,274.894805908203,175.660003662109
2020-11-11,15701.33984375,281.044158935547,174.899993896484
2020-11-12,16276.34375,279.725067138672,175.960006713867
2020-11-13,16317.80859375,282.178863525391,177.160003662109
2020-11-16,16716.111328125,284.380737304688,177.149993896484
2020-11-17,17645.40625,283.478576660156,176.5
2020-11-18,17804.005859375,281.383514404297,175.490005493164
2020-11-19,17817.08984375,283.585296630859,175.160003662109
2020-11-20,18621.314453125,281.645538330078,175.690002441406
2020-11-23,18364.12109375,281.655151367188,172.229995727539
2020-11-24,19107.46484375,285.612426757812,169.589996337891
2020-11-25,18732.12109375,287.368011474609,169.509994506836
2020-11-27,17108.40234375,290.015899658203,167.789993286133
2020-11-30,19625.8359375,290.607543945312,166.669998168945
2020-12-01,18802.998046875,294.332000732422,170.179992675781
2020-12-02,19201.091796875,294.710296630859,171.460006713867
2020-12-03,19445.3984375,295.127380371094,172.809997558594
2020-12-04,18699.765625,296.330078125,172.320007324219
2020-12-07,19191.630859375,298.008087158203,174.889999389648
2020-12-08,18321.14453125,299.016723632812,175.5
2020-12-09,18553.916015625,292.246704101562,172.5
2020-12-10,18264.9921875,293.420349121094,172.169998168945
2020-12-11,18058.904296875,292.770446777344,172.490005493164
2020-12-14,19246.64453125,294.894561767578,171.539993286133
2020-12-15,19417.076171875,298.046844482422,173.940002441406
2020-12-16,21310.59765625,299.68603515625,174.899993896484
2020-12-17,22805.162109375,301.645233154297,176.740005493164
2020-12-18,23137.9609375,300.733459472656,176.440002441406
2020-12-21,22803.08203125,300.170867919922,175.880004882812
2020-12-22,23783.029296875,300.987060546875,174.490005493164
2020-12-23,23241.345703125,299.471252441406,175.649993896484
2020-12-24,23735.94921875,300.792724609375,176.350006103516
2020-12-28,27084.80859375,303.824401855469,175.710006713867
2020-12-29,27362.4375,304.096466064453,176.350006103516
2020-12-30,28840.953125,304.106140136719,177.699996948242
2020-12-31,29001.720703125,304.854370117188,178.360000610352
2021-01-04,31971.9140625,300.549865722656,182.330001831055
2021-01-05,33992.4296875,303.027648925781,182.869995117188
2021-01-06,36824.36328125,298.830017089844,179.899993896484
2021-01-07,39371.04296875,306.059295654297,179.479995727539
2021-01-08,40797.609375,309.994598388672,173.339996337891
2021-01-11,35566.65625,305.515106201172,173
2021-01-12,33922.9609375,305.029296875,174.119995117188
2021-01-13,37316.359375,307.089294433594,173.369995117188
2021-01-14,39187.328125,305.447113037109,173.279998779297
2021-01-15,36825.3671875,303.027648925781,171.130004882812
2021-01-19,36069.8046875,307.448791503906,172.580001831055
2021-01-20,35547.75,314.600311279297,175.389999389648
2021-01-21,30825.69921875,317.117004394531,175.279998779297
2021-01-22,33005.76171875,316.203643798828,173.899993896484
2021-01-25,32366.392578125,318.817352294922,174.050003051758
2021-01-26,32569.849609375,319.283782958984,173.619995117188
2021-01-27,30432.546875,310.383270263672,172.520004272461
2021-01-28,33466.09765625,312.219757080078,172.679992675781
2021-01-29,34316.38671875,305.651184082031,172.610000610352
2021-02-01,33537.17578125,313.288543701172,174.229995727539
2021-02-02,35510.2890625,318.399566650391,172.110000610352
2021-02-03,37472.08984375,317.136413574219,171.850006103516
2021-02-04,36926.06640625,320.887023925781,168.149993896484
2021-02-05,38144.30859375,321.975341796875,169.809997558594
2021-02-08,46196.46484375,324.132415771484,171.520004272461
2021-02-09,46481.10546875,324.064483642578,172.080001831055
2021-02-10,44918.18359375,323.325988769531,172.710006713867
2021-02-11,47909.33203125,325.104156494141,171.210006713867
2021-02-12,47504.8515625,326.921234130859,170.690002441406
2021-02-16,49199.87109375,326.036987304688,168.240005493164
2021-02-17,52149.0078125,324.472534179688,166.330001831055
2021-02-18,51679.796875,323.053955078125,166.320007324219
2021-02-19,55888.1328125,321.645050048828,167.009994506836
2021-02-22,54207.3203125,313.307922363281,169.509994506836
2021-02-23,48824.42578125,312.375122070312,169.119995117188
2021-02-24,49705.33203125,314.950103759766,169
2021-02-25,47093.8515625,303.970153808594,165.820007324219
2021-02-26,46339.76171875,305.243133544922,161.809997558594
2021-03-01,49631.2421875,314.425415039062,161.529998779297
2021-03-02,48378.98828125,309.382446289062,162.410003662109
2021-03-03,50538.2421875,300.404113769531,160.619995117188
2021-03-04,48561.16796875,295.487426757812,159.039993286133
2021-03-05,48927.3046875,299.937683105469,159.139999389648
2021-03-08,52246.5234375,291.445220947266,157.490005493164
2021-03-09,54824.1171875,302.940185546875,160.839996337891
2021-03-10,56008.55078125,302.075347900391,161.660003662109
2021-03-11,57805.12109375,309.032531738281,161.520004272461
2021-03-12,57332.08984375,306.525726318359,161.490005493164
2021-03-15,55907.19921875,309.800262451172,162.199996948242
2021-03-16,56804.90234375,311.500671386719,162.350006103516
2021-03-17,58870.89453125,312.783294677734,163.509994506836
2021-03-18,57858.921875,303.202606201172,162.559997558594
2021-03-19,58346.65234375,304.271423339844,163.240005493164
2021-03-22,54529.14453125,309.977447509766,163
2021-03-23,54738.9453125,308.625122070312,161.809997558594
2021-03-24,52774.265625,303.420013427734,162.369995117188
2021-03-25,51704.16015625,302.894653320312,161.779998779297
2021-03-26,55137.3125,307.438201904297,162.240005493164
2021-03-29,57750.19921875,307.350646972656,160.309997558594
2021-03-30,58917.69140625,305.803680419922,157.570007324219
2021-03-31,58918.83203125,310.483367919922,159.960006713867
2021-04-01,59095.80859375,315.776031494141,161.979995727539
2021-04-05,59057.87890625,322.080352783203,161.919998168945
2021-04-06,58192.359375,321.856597900391,163.220001220703
2021-04-07,56048.9375,322.634979248047,162.759994506836
2021-04-08,58323.953125,326.001129150391,164.509994506836
2021-04-09,58245.00390625,327.976196289062,163.270004272461
